0 | 4 | 0.1045
1 | 3 | 0.2047
2 | 4 | 0.2396
3 | 5 | 0.4205
4 | 8 | 0.4766
5 | 6 | 0.7070
6 | 9 | 1.1140
7 | 5 | 1.1673
8 | 4 | 1.8110
9 | 5 | 1.4550
10 | 7 | 1.9284
11 | 6 | 2.6226
12 | 6 | 4.3585
13 | 9 | 3.7391
14 | 11 | 3.1625
15 | 11 | 4.1299
16 | 10 | 1.9168
17 | 12 | 2.8241
18 | 10 | 2.2958
19 | 11 | 1.8784
20 | 11 | 2.6403
21 | 10 | 2.0140
22 | 9 | 2.6926
23 | 14 | 3.0998
24 | 10 | 2.6598
25 | 10 | 2.3121
26 | 11 | 2.9252
27 | 10 | 1.3833
28 | 11 | 0.8781
29 | 11 | 0.5442
30 | 11 | 0.5796
31 | 12 | 1.2208
32 | 12 | 1.2703
33 | 11 | 2.5532
34 | 10 | 0.9381
35 | 9 | 0.9477
36 | 8 | 1.0682
37 | 11 | 1.2366
38 | 10 | 0.6096
39 | 12 | 0.5733
40 | 10 | 0.6384
41 | 10 | 0.6973
42 | 10 | 0.6384
43 | 8 | 0.4943
44 | 6 | 0.5143
45 | 8 | 0.2587
46 | 5 | 0.4768
47 | 5 | 0.1901
48 | 5 | 0.2489
49 | 6 | 5.8666
50 | 5 | 1.9246
51 | 4 | 0.4557
52 | 3 | 0.2074
53 | 2 | 0.0319
54 | 2 | 0.0221
55 | 0 | 0.0033
55 | 0 | 0.0087
56 | 0 | 0.0007
56 | 0 | 0.0033
57 | 2 | 0.0009
58 | 1 | 0.0005
59 | 0 | 0.0002
59 | 0 | 0.0003
60 | 0 | 0.0001
60 | 0 | 0.0001
0 | 4 | 0.1050
1 | 3 | 0.1712
2 | 4 | 0.2263
3 | 5 | 0.5275
4 | 8 | 0.3949
5 | 6 | 1.0446
6 | 9 | 1.8273
7 | 5 | 0.7859
8 | 4 | 1.5357
9 | 5 | 1.5434
10 | 7 | 2.7241
11 | 6 | 2.6776
12 | 6 | 4.3688
13 | 9 | 3.1260
14 | 11 | 1.8997
15 | 11 | 3.6219
16 | 10 | 4.2364
17 | 12 | 2.5965
18 | 10 | 2.5694
19 | 12 | 2.6551
20 | 12 | 0.5692
21 | 13 | 0.6762
22 | 12 | 1.4931
23 | 11 | 2.3247
24 | 10 | 1.8175
25 | 10 | 2.5043
26 | 9 | 2.1983
27 | 11 | 1.9736
28 | 10 | 1.4351
29 | 14 | 1.5378
30 | 15 | 1.3138
31 | 12 | 1.1715
32 | 14 | 1.4454
33 | 15 | 1.5048
34 | 12 | 1.5147
35 | 12 | 1.2388
36 | 11 | 0.8806
37 | 12 | 0.5321
38 | 12 | 0.6148
39 | 12 | 0.8402
40 | 13 | 0.8205
41 | 14 | 0.9168
42 | 12 | 0.8689
43 | 11 | 0.8615
44 | 11 | 0.4227
45 | 9 | 0.4846
46 | 8 | 0.2663
47 | 7 | 0.2689
48 | 6 | 0.1048
49 | 6 | 3.5080
50 | 5 | 0.6519
51 | 4 | 0.2295
52 | 4 | 0.1049
53 | 3 | 0.0167
54 | 2 | 0.0150
55 | 1 | 0.0019
56 | 0 | 0.0021
57 | 1 | 0.0009
58 | 0 | 0.0007
59 | 0 | 0.0002
59 | 0 | 0.0004
60 | 0 | 0.0002
60 | 0 | 0.0002
0 | 4 | 0.1464
1 | 3 | 0.2094
2 | 4 | 0.2344
3 | 5 | 0.3874
4 | 8 | 0.6235
5 | 6 | 0.6610
6 | 9 | 1.2165
7 | 5 | 0.7440
8 | 4 | 2.1098
9 | 5 | 1.1544
10 | 7 | 2.1315
11 | 6 | 1.9537
12 | 6 | 1.9591
13 | 9 | 3.2340
14 | 11 | 1.7806
15 | 11 | 3.3271
16 | 10 | 3.1620
17 | 12 | 2.8931
18 | 10 | 2.7695
19 | 10 | 3.3900
20 | 10 | 2.1515
21 | 10 | 1.2235
22 | 14 | 1.2482
23 | 13 | 0.9970
24 | 13 | 1.8629
25 | 14 | 3.0558
26 | 13 | 2.5803
27 | 13 | 2.4093
28 | 13 | 2.7202
